Thương hiệu,Số hiệu sản phẩm,Bộ sưu tập,Xuất xứ,Giới tính,Kính,Máy,Bảo hành quốc tế,Bảo hành tại Hải Triều,Đường kính mặt số,Bề dày mặt số,Niềng,Dây đeo,Màu mặt số,Chống nước,Chức năng,Nơi sản xuất,Giá
NH9130-17A,,NaN,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,40 mm,10.7 mm,Thép không gỉ,Dây da bê,Champage,5 ATM,NaN,Trung Quốc,8.985.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Lịch Thế Giới, Lịch Ngày",NaN,79.450.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.850.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.690.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.390.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.090.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.090.000 ₫
Seiko,SRPK29K1,Hardlex Crystal,Nhật Bản,Nam,Hardlex Crystal,Automatic,1 năm,NaN,38 mm,12.1 mm,Thép Không Gỉ,Thép Không Gỉ,Đen,10 ATM,,,10.030.000 ₫
Seiko,SRPJ83K1,Seiko 5 Field,Nhật Bản,Nam,Hardlex Crystal,Automatic,1 năm,NaN,36.4 mm,12.5 mm,Thép Không Gỉ,Dây Vải (,Beige (Màu Be),10 ATM,,,9.460.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.740.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.090.000 ₫
NaN,NaN,Sapphire,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81.170.000 ₫
NJ0084-59A,,NaN,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,42 mm,11 mm,Thép Không Gỉ,Thép không gỉ,Trắng,5 ATM,Lịch ngày,Trung Quốc,12.985.000 ₫
NH8391-51L,,Citizen C7,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40.2 mm,13.1 mm,Thép không gỉ,Thép không gỉ,Xanh dương,5 ATM,NaN,Trung Quốc,9.285.000 ₫
NH8391-51X,NaN,Citizen C7,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40.2 mm,13.1 mm,Thép không gỉ,Thép không gỉ,Xanh lá,5 ATM,NaN,Trung Quốc,9.285.000 ₫
NJ0150-81E,,Citizen Tsuyosa,Nhật Bản,Nam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5 ATM,NaN,NaN,12.185.000 ₫
NJ0150-81L,,Citizen Tsuyosa,Nhật Bản,Nam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5 ATM,NaN,NaN,12.185.000 ₫
NaN,NaN,Sapphire,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Thụy Sỹ,28.680.000 ₫
NH8350-59A,,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 Năm,40 mm,12 mm,Thép không gỉ,Thép không gỉ,NaN,5 ATM,Lịch ngày – Lịch thứ – Dạ quang,NaN,6.185.000 ₫
NH8350-83A,,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40 mm,12 mm,Thép không gỉ,Thép không gỉ,Trắng,5 ATM,Lịch ngày – Lịch thứ,Trung Quốc,6.185.000 ₫
NH8352-53P,,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40 mm,12 mm,Thép không gỉ,Thép không gỉ,Vàng nhạt,5 ATM,Lịch ngày – Lịch thứ,Trung Quốc,7.085.000 ₫
Doxa,D206SWH,Sapphire,Thụy Sỹ,Nam,Sapphire,Automatic,2 năm,NaN,41 mm,12 mm,Thép không gỉ,Thép không gỉ,Bạc,5 ATM,Lịch thứ – Lịch ngày –,Thụy Sỹ,36.960.000 ₫
Saga,NaN,NaN,NaN,Nam,NaN,Quartz,NaN,NaN,38 mm,NaN,NaN,NaN,Trắng,5 ATM,NaN,Trung Quốc,4.600.000 ₫
Doxa,D173SRO,Sapphire,Thụy Sỹ,Nam,Sapphire,Automatic,2 năm,NaN,40 mm,12 mm,Thép không gỉ,Thép không gỉ,Hồng,10 ATM,Lịch ngày – Hand Winding –,Thụy Sỹ,46.690.000 ₫
Sapphire,,NaN,Thụy Sỹ,Nam/Nữ,Sapphire,NaN,2 năm,4 năm –,40 mm,mm,Thép không gỉ,Thép không gỉ,NaN,5 ATM,NaN,Thụy Sỹ,56.550.000 ₫
Sapphire,,NaN,Thụy Sỹ,Nam,Sapphire,NaN,2 năm,4 năm –,40 mm,mm,Thép không gỉ,Thép không gỉ mạ PVD,NaN,10 ATM,Lịch ngày,Thụy Sỹ,84.310.000 ₫
Citizen,NB6059-57P,Citizen Series 8,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,40 mm,10.55 mm,Thép không gỉ,Thép không gỉ (H-Link),Vàng Champagne,10 ATM,Lịch ngày,NaN,37.685.000 ₫
Citizen,NB6050-51W,Citizen Series 8,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,40 mm,10.55 mm,Thép không gỉ,Thép không gỉ,Xanh lá,10 ATM– Dạ quang,Lịch ngày,NaN,36.885.000 ₫
Citizen,NB6069-53H,Citizen Series 8,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,42.6 mm,11.7 mm,Thép không gỉ,Thép không gỉ,Đen,20 ATM,Lịch ngày – Bezel xoay hai chiều – Dạ quang,NaN,46.785.000 ₫
Citizen,NB6066-51W (Limited Edition 1.700 mẫu toàn cầu),Citizen Series 8,Nhật Bản,Nam,Sapphire,Automatic,1 năm,NaN,NaN,NaN,Thép Không Gỉ,NaN,NaN,NaN,NaN,NaN,43.485.000 ₫
NaN,NaN,Citizen Series 8,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,Thép Không Gỉ,NaN,NaN,NaN,NaN,NaN,43.485.000 ₫
NaN,NaN,Citizen Series 8,NaN,NaN,Sapphire,Automatic,NaN,NaN,NaN,NaN,Thép Không Gỉ,NaN,NaN,NaN,NaN,NaN,47.285.000 ₫
AW0081-89L,,NaN,Nhật Bản,Nam,Mineral Crystal,Eco-Drive,1 năm,5 năm,42 mm,10 mm,Thép không gỉ,Thép không gỉ,Xanh,10 ATM,NaN,Trung Quốc,6.685.000 ₫
Sapphire,RA-AR0001S10B,Sapphire,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,40.8 mm,11 mm,Thép không gỉ,Thép không gỉ (,Trắng,5 ATM,Open Heart – Small Second,NaN,12.410.000 ₫
T006.407.22.036.01,,Tissot Le Locle,Thụy Sỹ,Nam,Sapphire,Automatic,2 năm,,39.3 mm,9.8 mm,Thép không gỉ,Thép mạ vàng PVD,Trắng,3 ATM,NaN,Thụy Sỹ,28.000.000 ₫
Mineral Crystal,NH8353-18A,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40 mm,12 mm,Thép không gỉ,Dây da chính hãng,Trắng,5 ATM,Lịch ngày – Lịch thứ,Trung Quốc,6.485.000 ₫
BM7461-18A,,NaN,Nhật Bản,Nam,Mineral Crystal,Eco-Drive,1 năm,5 năm,40 mm,10 mm,Thép không gỉ,Dây da,Trắng,5 ATM,Lịch ngày,Trung Quốc,6.085.000 ₫
Mineral Crystal,NH8350-08A,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40 mm,11.1 mm,Thép không gỉ,Dây da chính hãng,Trắng,5 ATM,Lịch ngày – Lịch thứ,Trung Quốc,6.085.000 ₫
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NH8353-00H,,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40 mm,12 mm,Thép không gỉ,Dây da nâu giả vân cá sấu,Đen,5 ATM,Lịch ngày – Lịch thứ,Trung Quốc,6.485.000 ₫
Mineral Crystal,NH8350-59L,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,NaN,12 mm,Thép không gỉ,Thép không gỉ,Xanh,5 ATM,Lịch ngày – Lịch thứ,Trung Quốc,6.185.000 ₫
Mineral Crystal,NH8350-59E,NaN,Nhật Bản,Nam,Mineral Crystal,Automatic,1 năm,5 năm,40 mm,12 mm,Thép không gỉ,Thép không gỉ,Đen,5 ATM,Lịch ngày – Lịch thứ,Trung Quốc,6.185.000 ₫
Frederique Constant Classics,FC-311S4C6,Frederique Constant Classics,Thụy Sỹ,Nam,Sapphire,Automatic,2 năm,,30.4 mm x 33.3 mm,NaN,Thép không gỉ,Dây da bê màu đen,Trắng,3 ATM,NaN,Thụy Sỹ,46.990.000 ₫
Orient mặt đỏ,RA-AR0010R10B,Orient mặt đỏ,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,40.8 mm,11 mm,Thép không gỉ,Thép không gỉ,Đỏ,5 ATM,,NaN,10.980.000 ₫
Citizen Tsuyosa,NJ0150-56W,Citizen Tsuyosa,Nhật Bản,Nam,NaN,NaN,NaN,5 năm,NaN,NaN,NaN,NaN,NaN,5 ATM,NaN,NaN,12.285.000 ₫
Citizen Tsuyosa,NJ0151-88W,Citizen Tsuyosa,Nhật Bản,Nam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5 ATM,NaN,NaN,12.485.000 ₫
Citizen Tsuyosa,NJ0151-53W,Citizen Tsuyosa,Nhật Bản,Nam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5 ATM,NaN,NaN,13.585.000 ₫
Thép không gỉ,NaN,NaN,Mỹ,Nam,Thép không gỉ,Thép không gỉ,2 năm,,42 mm,mm,Thép không gỉ,Dây silicon đen,Đen,5 ATM,Lịch ngày,Trung Quốc,9.610.000 ₫
Thép không gỉ,NaN,NaN,Mỹ,Nam,Thép không gỉ,Thép không gỉ,2 năm,,42 mm,mm,Thép không gỉ,Dây silicon xám,Xám,5 ATM,Lịch ngày,Trung Quốc,9.550.000 ₫
Mineral Crystal,NaN,NaN,Mỹ,Nam,Mineral Crystal,Automatic,2 năm,,42 mm,mm,Thép không gỉ,Dây da đen,Bạc – Lộ cơ,"5 ATM(Rửa tay, đi mưa nhỏ)",Sun and Moon,Trung Quốc,11.940.000 ₫
Mineral Crystal,NaN,NaN,Mỹ,Nam,Mineral Crystal,Thép không gỉ,2 năm,,42 mm,mm,Thép không gỉ,Dây da nâu,Bạc – Lộ cơ,"5 ATM(Đeo rửa tay, đi mưa nhỏ)",Sun and Moon,Trung Quốc,11.940.000 ₫
Saga,NaN,Mineral Crystal,Mỹ,Nam,Mineral Crystal,Automatic,2 năm,,42 mm,mm,Thép không gỉ,Dây da chính hãng,Đen Platinum,5 ATM,"Cơ chế ngừng kim giây – Hacking Second, Lên dây cót thủ công – Hand Winding",Trung Quốc,12.840.000 ₫
Sapphire,SPB165J1,NaN,Nhật Bản,Nam,Sapphire,Automatic,1 năm,5 năm,39 mm,11 mm,Thép không gỉ,Thép dáng Oyster,Trắng,10 ATM(Đi bơi được),NaN,NaN,29.400.000 ₫
Mineral crystal,BM7624-82A,Mineral crystal,Nhật Bản,Nam,Mineral crystal,Eco-Drive,1 năm,5 năm,38 mm,9.7 mm,Thép không gỉ,Thép không gỉ,Trắng,10 ATM,NaN,Trung Quốc,8.685.000 ₫
Mineral crystal,BM7620-83L,Mineral crystal,Nhật Bản,Nam,Mineral crystal,Eco-Drive,1 năm,5 năm,38 mm,9.7 mm,Thép không gỉ,Thép không gỉ,Xanh dương,10 ATM,NaN,Trung Quốc,7.985.000 ₫
Hardlex Crystal,SSK001K1,Hardlex Crystal,Nhật Bản,Nam,Hardlex Crystal,Automatic,1 năm,,42.5 mm,13.6 mm,Thép không gỉ,Thép không gỉ,Đen,10 ATM,Lịch ngày – GMT (Múi giờ thứ 2),NaN,14.250.000 ₫
Mineral crystal,BM7620-83A,Mineral crystal,Nhật Bản,Nam,Mineral crystal,Eco-Drive,1 năm,5 năm,38 mm,9.7 mm,Thép không gỉ,Thép không gỉ,Trắng,10 ATM,NaN,Trung Quốc,7.985.000 ₫
Quartz,,NaN,Nhật Bản,Nam,Quartz,Quartz,1 năm,5 năm,41 mm,10.1 mm,Thép không gỉ,Thép dáng Oyster,Xanh,5 ATM,Lịch ngày,Trung Quốc,5.085.000 ₫
